tournament_key,tournament_name,category,start_date,end_date,player_id,player_name,nationality,player_type_code,player_type_desc,match_type_code,match_type_desc,event_classification_code,event_classification_desc,matches_played,wins,losses,round_robin_position,round_robin_group_size,round_robin_group_complete,round_robin_matches_played,round_robin_wins,round_robin_losses,elimination_matches_seen,highest_round_order,highest_round_name,last_match_id,last_match_status,status,live_points,collected_at
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800651342,Kasra Nathaniel Shirazi,GBR,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557107,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800660411,Liliana Chetry Rodriguez,ESP,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557125,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800711857,Liv Bretscher,SUI,G,Girls,D,Doubles,M,Main Draw,0,0,0,,,false,0,0,0,2,2,Quarter-finals,2124557122,To be played,not_started_or_unknown,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800632088,Lucia Rodriguez,ESP,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557125,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800661952,ludovica casalino,ITA,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557123,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800729250,Luke Buenger,GER,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557113,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800602862,Lydia Brennan,IRL,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557127,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800684657,MARC SCHULZ BARRERA,ESP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557109,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800702729,Marco Quesada Arruza,ESP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557109,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800660429,Maria Alexandra Mateas,ROU,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557131,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800636520,Maria Paula Pittigliani,BRA,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557130,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800780147,Martina Pascual Ferra,ESP,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557132,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800718752,Milagros Belen Laino,ARG,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557123,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800721610,Neo Ehlin,SWE,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557107,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800663534,Nicole Yekaterina Villa,SUI,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557123,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800651892,NIKOLAS PETOUSSIS,CYP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557109,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800855768,Noah Arrese De Sarraga,ESP,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557111,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800671630,Oriol Alvarez Velis,ESP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557110,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800725559,Pablo Rueda,ESP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557109,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800693680,Pui Yin Lung,GBR,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557131,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800678027,Rafa Garcia Domenech,ESP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557108,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800671524,Saule Tamulynas,EST,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557129,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800647107,sergi ramis coll,ESP,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557108,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800700921,Sofia Tatu,GBR,G,Girls,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557125,To be played,still_alive_or_champion,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800711202,Tommy Penev,CAN,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557118,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800719145,Yaroslav Ihoshyn,UKR,B,Boys,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557113,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800675502,zayyan virani,KEN,B,Boys,D,Doubles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,Quarter-finals,2124557107,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800784580,Zineb Ouazzani Hasani,MAR,G,Girls,D,Doubles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,2124557133,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800688579,Abner Pulin Yu,USA,B,Boys,S,Singles,Q,Qualifying Draw,2,1,1,,,false,0,0,0,2,2,2nd Round,1183686247,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800747474,Ada Mcintyre Perez,ESP,G,Girls,S,Singles,Q,Qualifying Draw,3,2,1,,,false,0,0,0,3,3,Quarter-finals,1183686299,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800593247,Adolfo Abascal,ESP,B,Boys,S,Singles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,2nd Round,1183686213,To be played,still_alive_or_champion,,2026-09-08T23:55:21.151Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800694619,Ailish Garcia Fernandez,ESP,G,Girls,S,Singles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,2nd Round,1183686277,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
