tournament_key,tournament_name,category,start_date,end_date,player_id,player_name,nationality,player_type_code,player_type_desc,event_type,event_classification,matches_played,wins,losses,highest_round_order,highest_round_name,total_rounds_in_draw,calculated_round_label,status,live_points_raw,live_points_weighted,collected_at
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800852210,Paulina Herrera,GUA,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800661962,Rafael Gama,BRA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800727016,Ruochen Gao,CHN,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800568131,Rushikesh Sonawane,IND,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800667886,Sarah Stoyanov,USA,G,Girls,doubles,main_draw,0,0,0,2,Quarter-finals,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800697708,Simon Ignacio Flores Leyton,CHI,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800729855,Sofia Ines Alvarez Monterroso,GUA,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800698385,Sofia Tejada,GUA,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800746388,Sophia Budacsek,USA,G,Girls,doubles,main_draw,0,0,0,2,Quarter-finals,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800722835,SRISHTI KIRAN,IND,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800791730,Tristan Stratton,USA,B,Boys,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800848653,Valentina Schaeffer,GUA,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800668842,Yelyzaveta Dovhopol,UKR,G,Girls,doubles,main_draw,0,0,0,1,1st Round,4,R16,not_started_or_unknown,18,4.5,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800695465,Abril Cardenas Olivares,MEX,G,Girls,singles,main_draw,1,1,0,2,2nd Round,5,R16,still_alive_or_champion,18,18,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800629801,Alexandra Korneeva,ARM,G,Girls,singles,main_draw,0,0,0,1,1st Round,5,R32,not_started_or_unknown,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800673054,Alison Julieta Oliva Ramirez,GUA,G,Girls,singles,main_draw,0,0,0,1,1st Round,5,R32,not_started_or_unknown,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800816915,Anika Javora,GUA,G,Girls,singles,main_draw,1,0,1,1,1st Round,5,R32,eliminated,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800719489,ANTHONY DAVID VASQUEZ SANDOVAL,GUA,B,Boys,singles,main_draw,0,0,0,1,1st Round,5,R32,not_started_or_unknown,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800694095,ANTOINE TARDIF,CAN,B,Boys,singles,main_draw,0,0,0,1,1st Round,5,R32,not_started_or_unknown,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800752433,Antonio Carlos Castellanos,GUA,B,Boys,singles,main_draw,1,0,1,1,1st Round,5,R32,eliminated,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800810285,Antonio Guarcax,GUA,B,Boys,singles,main_draw,1,0,1,1,1st Round,5,R32,eliminated,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800800742,Antonio Martinez Palencia,GUA,B,Boys,singles,qualifying,1,0,1,1,1st Round,2,Q1,eliminated,0,0,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800706118,Ariana Ikwueme,USA,G,Girls,singles,main_draw,1,1,0,2,2nd Round,5,R16,still_alive_or_champion,18,18,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800745755,Camila Morataya,ESA,G,Girls,singles,main_draw,0,0,0,2,2nd Round,5,R32,not_started_or_unknown,9,9,2026-06-03T03:36:09.867Z
J-J100-GUA-2026-001,J100 Guatemala,J100,2026-06-01,2026-06-06,800678872,Carlos Marcelo Silva Sovero,CHI,B,Boys,singles,main_draw,1,1,0,2,2nd Round,5,R16,still_alive_or_champion,18,18,2026-06-03T03:36:09.867Z
