player_id,player_name,gender,country,birth_year,official_rank,live_rank,rank_change_vs_official,official_points,live_points,points_change_vs_official,live_rows_available,live_raw_points_available,live_singles_results_counting,live_doubles_results_counting,best_singles_1,best_singles_2,best_singles_3,best_doubles_1,best_doubles_2,best_doubles_3,calculated_at
800697653,Agassi Rusher,M,USA,2008,95,89,6,693,723,30,1,90,1,0,100 pts | BASE | J200 | SF | J200 Haskovo | 2026-04-21,100 pts | BASE | J200 | SF | J200 Punta Cana | 2026-02-16,100 pts | BASE | J300 | QF | J300 Barranquilla | 2026-01-26,157 pts | BASE | J300 | RU | J300 Lima | 2026-02-09,105 pts | BASE | J200 | RU | J200 Hanover | 2026-05-11,75 pts | BASE | J300 | QF | J300 Tucson | 2026-03-09,2026-06-02T23:19:32.279Z
800791730,Tristan Stratton,M,USA,2009,286,280,6,292.5,297,4.5,2,36,0,1,60 pts | BASE | J60 | WR | J60 Santa Tecla | 2025-10-27,60 pts | BASE | J60 | WR | J60 Leon | 2025-10-06,36 pts | BASE | J200 | R16 | J200 College Grove | 2026-05-04,75 pts | BASE | J200 | SF | J200 Woodbridge | 2026-04-07,27 pts | BASE | J100 | SF | J100 Salinas | 2025-06-23,18 pts | LIVE | J100 | R16 | J100 Guatemala | 2026-06-01,2026-06-02T23:19:32.286Z
800676504,Leonardo Storck Franca,M,BRA,2009,56,51,5,937.25,1046,108.75,2,360,1,1,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,140 pts | BASE | J300 | SF | J300 Porto Alegre | 2026-03-09,140 pts | BASE | J200 | RU | J200 Santiago | 2025-09-29,375 pts | BASE | J500 | WR | J500 Milan | 2026-05-18,225 pts | BASE | J300 | WR | J300 Santa Croce Sull’Arno | 2026-05-11,187 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,2026-06-02T23:19:32.277Z
800636281,Maia Ilinca Burcescu,F,ROU,2009,38,33,5,1103,1193,90,2,270,1,0,210 pts | BASE | J300 | RU | J300 Zapopan | 2025-11-17,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,150 pts | BASE | J500 | QF | J500 Gaspar | 2026-03-16,375 pts | BASE | J500 | WR | J500 Gaspar | 2026-03-16,225 pts | BASE | J300 | WR | J300 Asuncion | 2026-03-02,225 pts | BASE | JGS | QF | Roland Garros Junior Championships | 2025-06-01,2026-06-02T23:19:32.277Z
800587892,Daphnee Mpetshi Perricard,F,FRA,2008,74,69,5,873.75,926.25,52.5,2,180,1,1,300 pts | BASE | J300 | WR | J300 Santa Croce Sull’Arno | 2026-05-11,200 pts | BASE | J200 | WR | J200 Cap d'Ail | 2026-03-30,100 pts | BASE | J200 | SF | J200 Gladbeck | 2025-06-17,105 pts | BASE | J300 | SF | J300 Beaulieu-sur-Mer | 2026-04-13,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,45 pts | BASE | J200 | QF | J200 Cap d'Ail | 2026-03-30,2026-06-02T23:19:32.279Z
800644962,Mariia Makarova,F,RUS,2010,14,10,4,1640.5,1783,142.5,2,270,1,1,350 pts | BASE | J500 | RU | J500 Milan | 2026-05-18,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | BASE | J300 | WR | J300 Sanxenxo | 2025-09-23,367 pts | BASE | JGS | SF | Australian Open Junior Championships | 2026-01-24,225 pts | BASE | J300 | WR | J300 Traralgon | 2026-01-16,150 pts | BASE | J200 | WR | J200 Cairo | 2025-11-10,2026-06-02T23:19:32.276Z
800686514,Kanta Watanabe,M,JPN,2009,42,38,4,1111,1152.25,41.25,2,180,1,1,350 pts | BASE | J500 | RU | J500 Osaka | 2025-09-22,140 pts | BASE | J200 | RU | J200 Kuala Lumpur | 2026-04-14,140 pts | BASE | J300 | SF | J300 Kuching | 2026-04-07,367 pts | BASE | JGS | SF | Australian Open Junior Championships | 2026-01-24,225 pts | BASE | J300 | WR | J300 Kuching | 2026-04-07,105 pts | BASE | J300 | SF | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,2026-06-02T23:19:32.275Z
800587881,Ilary Pistola,F,ITA,2008,76,72,4,868,901.75,33.75,2,210,0,1,200 pts | BASE | J200 | WR | J200 Florence | 2026-04-01,140 pts | BASE | J300 | SF | J300 Vrsar | 2026-03-23,140 pts | BASE | J200 | RU | J200 Rutesheim | 2025-08-05,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J300 | QF | J300 Beaulieu-sur-Mer | 2026-04-13,75 pts | BASE | J200 | SF | J200 Valencia | 2026-03-02,2026-06-02T23:19:32.280Z
800626357,Dan Brand,M,ISR,2009,29,25,4,1233,1266.75,33.75,2,210,0,1,300 pts | BASE | J300 | WR | J300 Charleroi-Marcinelle | 2026-05-25,210 pts | BASE | J300 | RU | J300 Nonthaburi | 2026-03-02,200 pts | BASE | J200 | WR | J200 Nonthaburi | 2026-02-23,225 pts | BASE | J300 | WR | J300 Charleroi-Marcinelle | 2026-05-25,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 Santa Croce Sull’Arno | 2026-05-11,2026-06-02T23:19:32.275Z
800630721,Capucine Cedillo- Vayson de Pradenne,F,FRA,2009,149,145,4,568.5,579.75,11.25,2,120,0,1,100 pts | BASE | J300 | QF | J300 Beaulieu-sur-Mer | 2026-04-13,100 pts | BASE | J200 | SF | J200 Pretoria | 2025-09-15,100 pts | BASE | J200 | SF | J200 Pretoria | 2025-09-08,105 pts | BASE | J300 | SF | J300 New Delhi | 2026-01-05,105 pts | BASE | J200 | RU | J200 Pretoria | 2025-09-15,105 pts | BASE | J200 | RU | J200 Pretoria | 2025-09-08,2026-06-02T23:19:32.293Z
800725121,Gurjot Singh,M,USA,2008,178,174,4,450.75,455.25,4.5,2,36,1,1,140 pts | BASE | J200 | RU | J200 College Grove | 2026-05-04,60 pts | BASE | J300 | R16 | J300 San Diego (North American Regional Championships) | 2026-03-16,60 pts | BASE | J300 | R16 | J300 Zapopan | 2025-11-17,75 pts | BASE | J200 | SF | J200 College Grove | 2026-05-04,75 pts | BASE | J300 | QF | J300 Zapopan | 2025-11-17,75 pts | BASE | J100 | WR | J100 Zapopan | 2025-11-10,2026-06-02T23:19:32.283Z
800600773,Nicolas Baena,M,PER,2008,18,15,3,1430.5,1529.25,98.75,2,360,1,1,300 pts | BASE | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,250 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,200 pts | BASE | J200 | WR | J200 La Paz | 2025-11-10,225 pts | BASE | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,187 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,2026-06-02T23:19:32.274Z
800589799,Raffaele Ciurnelli,M,ITA,2008,31,28,3,1221.75,1248,26.25,2,270,0,1,300 pts | BASE | J300 | WR | J300 Villena | 2026-03-16,300 pts | BASE | J300 | WR | J300 Casablanca | 2026-02-09,140 pts | BASE | J300 | SF | J300 Vrsar | 2026-03-23,225 pts | BASE | J300 | WR | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,112 pts | BASE | J500 | QF | J500 Milan | 2026-05-18,2026-06-02T23:19:32.275Z
800650301,Pedro Henrique Chabalgoity,M,BRA,2008,39,36,3,1129.75,1156,26.25,2,270,1,1,300 pts | BASE | J300 | WR | J300 Porto Alegre | 2026-03-09,210 pts | BASE | J300 | RU | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,140 pts | BASE | J300 | SF | J300 Santa Croce Sull’Arno | 2026-05-11,187 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,112 pts | BASE | J500 | QF | J500 Milan | 2026-05-18,2026-06-02T23:19:32.275Z
800725103,Ellery Mendell,F,USA,2009,198,195,3,454.75,458.5,3.75,2,27,0,1,100 pts | BASE | J100 | WR | J100 San Jose | 2026-05-04,100 pts | BASE | J100 | WR | J100 San Jose | 2026-04-27,60 pts | BASE | J60 | WR | J60 Guatemala | 2026-02-16,75 pts | BASE | J300 | QF | J300 San Diego (North American Regional Championships) | 2026-03-16,45 pts | BASE | J100 | RU | J100 Rome | 2025-10-20,27 pts | BASE | J60 | RU | J60 Guatemala | 2026-02-09,2026-06-02T23:19:32.294Z
800661516,Zoe Doldan,F,PAR,2010,426,423,3,213,213.75,0.75,2,20,0,1,60 pts | BASE | J60 | WR | J60 Lambare | 2025-07-14,30 pts | BASE | J300 | R32 | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,18 pts | BASE | J60 | SF | J60 Tarija | 2026-05-25,75 pts | BASE | J300 | QF | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,75 pts | BASE | J100 | WR | J100 Londrina | 2025-06-30,45 pts | BASE | J100 | RU | J100 Cochabamba | 2026-05-18,2026-06-02T23:19:32.300Z
800692786,Jack Kennedy,M,USA,2008,11,9,2,1651,1876,225,2,360,1,1,420 pts | BASE | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,350 pts | BASE | J500 | RU | J500 Fort Lauderdale | 2025-12-08,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,750 pts | BASE | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,367 pts | BASE | JGS | SF | Roland Garros Junior Championships | 2025-06-01,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,2026-06-02T23:19:32.274Z
800631529,Ruien Zhang,F,CHN,2008,36,34,2,1113,1188,75,2,270,1,1,320 pts | BASE | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,180 pts | BASE | JGS | R16 | Australian Open Junior Championships | 2026-01-24,180 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,367 pts | BASE | JGS | SF | US Open Junior Tennis Championships | 2025-08-31,225 pts | BASE | J300 | WR | J300 College Park | 2025-08-18,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,2026-06-02T23:19:32.277Z
800651337,UI SU JEONG,F,KOR,2008,57,55,2,956.25,982.5,26.25,2,270,0,1,200 pts | BASE | J200 | WR | J200 Kuala Lumpur | 2026-04-14,140 pts | BASE | J300 | SF | J300 Kuching | 2026-04-07,140 pts | BASE | J300 | SF | J300 New Delhi | 2026-01-05,225 pts | BASE | J300 | WR | J300 Kuching | 2026-04-07,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,150 pts | BASE | J200 | WR | J200 Tainan | 2025-11-25,2026-06-02T23:19:32.279Z
800656226,Katerina Zajickova,F,CZE,2010,66,64,2,914.25,940.5,26.25,2,210,0,1,300 pts | BASE | J300 | WR | J300 Cairo | 2026-03-30,100 pts | BASE | J300 | QF | J300 San Jose | 2026-01-19,100 pts | BASE | J100 | WR | J100 Prague | 2025-06-30,225 pts | BASE | J300 | WR | J300 Cairo | 2026-03-30,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,112 pts | BASE | J500 | QF | J500 Cairo | 2026-04-06,2026-06-02T23:19:32.279Z
