player_id,player_name,gender,country,country_name,birth_year,event_type,countable_status,tournament_name,category,draw_type,host_nation,host_nation_code,surface,surface_code,start_date,drop_date_calculated,round,points,tournament_link,is_countable_at_collection,is_live,status,source_url,collected_at,raw_json
800695208,Enzo Badotti Cariani,M,BRA,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,still_alive_or_champion,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800695208"",""player_name"":""Enzo Badotti Cariani"",""nationality"":""BRA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":18,""live_points_weighted"":18,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800713070,Eve Thibault,F,CAN,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R32,9,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800713070"",""player_name"":""Eve Thibault"",""nationality"":""CAN"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":9,""live_points_weighted"":9,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800653778,Felipe Wright,M,ECU,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,still_alive_or_champion,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800653778"",""player_name"":""Felipe Wright"",""nationality"":""ECU"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":18,""live_points_weighted"":18,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800801381,Fernando Saravia Gandara,M,MEX,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R32,9,,false,true,eliminated,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800801381"",""player_name"":""Fernando Saravia Gandara"",""nationality"":""MEX"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""0"",""losses"":""1"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""eliminated"",""live_points_raw"":9,""live_points_weighted"":9,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800718567,Filipa Delgado,F,USA,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R32,9,,false,true,not_started_or_unknown,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800718567"",""player_name"":""Filipa Delgado"",""nationality"":""USA"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":9,""live_points_weighted"":9,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800809720,Gabriel Emilio Aceituno Bethancourt,M,GUA,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R32,9,,false,true,eliminated,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800809720"",""player_name"":""Gabriel Emilio Aceituno Bethancourt"",""nationality"":""GUA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""0"",""losses"":""1"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""eliminated"",""live_points_raw"":9,""live_points_weighted"":9,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800693872,Gianluigi Martini,M,GUA,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R32,9,,false,true,eliminated,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800693872"",""player_name"":""Gianluigi Martini"",""nationality"":""GUA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""0"",""losses"":""1"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""eliminated"",""live_points_raw"":9,""live_points_weighted"":9,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800815293,Giuliana Alvarado Solis,F,GUA,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R32,9,,false,true,eliminated,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800815293"",""player_name"":""Giuliana Alvarado Solis"",""nationality"":""GUA"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""0"",""losses"":""1"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""eliminated"",""live_points_raw"":9,""live_points_weighted"":9,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800725121,Gurjot Singh,M,USA,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,still_alive_or_champion,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800725121"",""player_name"":""Gurjot Singh"",""nationality"":""USA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":18,""live_points_weighted"":18,""collected_at"":""2026-06-02T23:15:34.885Z""}"
800647681,Hanne Estrada Cortes,F,MEX,,,singles,live_unconfirmed,J100 Guatemala,J100,main_draw,,,,,2026-06-01,,R16,18,,false,true,still_alive_or_champion,,2026-06-02T23:15:34.885Z,"{""tournament_key"":""J-J100-GUA-2026-001"",""tournament_name"":""J100 Guatemala"",""category"":""J100"",""start_date"":""2026-06-01"",""end_date"":""2026-06-06"",""player_id"":""800647681"",""player_name"":""Hanne Estrada Cortes"",""nationality"":""MEX"",""player_type_code"":""G"",""player_type_desc"":""Girls"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":18,""live_points_weighted"":18,""collected_at"":""2026-06-02T23:15:34.885Z""}"
