official_rebuild_rank,simulated_rank,player_id,player_name,gender,country,country_name,birth_year,official_rebuild_points,official_rebuild_singles_points,official_rebuild_doubles_raw,official_rebuild_doubles_weighted,official_rebuild_singles_count,official_rebuild_doubles_count,simulated_points,simulated_singles_points,simulated_doubles_raw,simulated_doubles_weighted,simulated_singles_results_used,simulated_doubles_results_used,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,calculated_at
297,297,800571556,Carla Giambelli,F,ITA,Italy,2008,315,240,300,75,6,6,315,240,300,75,6,6,140 pts | countable | J200 | RU | J200 Florence | 2026-04-01,100 pts | countable | J300 | QF | J300 Casablanca | 2026-02-09,0 pts | non_countable | J300 | QF | J300 Charleroi-Marcinelle | 2026-05-25,0 pts | countable | J500 | R64 | J500 Milan | 2026-05-18,0 pts | non_countable | J300 | R64 | J300 Villena | 2026-03-16,0 pts | non_countable | J200 | R16 | J200 Benicarlo | 2026-03-10,105 pts | countable | J200 | RU | J200 Belgrade | 2025-08-25,75 pts | countable | J200 | SF | J200 Benicarlo | 2026-03-10,75 pts | countable | J300 | QF | J300 Casablanca | 2026-02-09,45 pts | countable | J300 | R16 | J300 Oberpullendorf (Europe Regional Championships) | 2025-09-15,0 pts | countable | J200 | R16 | J200 Florence | 2026-04-01,0 pts | countable | J300 | R16 | J300 Pancevo | 2025-08-18,2026-06-02T20:42:05.247Z
297,297,800632054,Nadine Hamrouni,F,TUN,Tunisia,2009,315,270,180,45,6,6,315,270,180,45,6,6,60 pts | countable | J60 | WR | J60 Mahdia | 2026-05-12,60 pts | countable | J200 | QF | J200 Cairo (Africa Regional Championships) | 2026-03-23,60 pts | countable | J60 | WR | J60 Hammam Sousse | 2025-10-28,36 pts | countable | J100 | SF | J100 Sousse | 2026-04-21,36 pts | countable | J200 | R16 | J200 Pretoria | 2025-09-08,18 pts | countable | J60 | SF | J60 Accra | 2025-09-22,45 pts | countable | J60 | WR | J60 Accra | 2025-09-22,27 pts | countable | J100 | SF | J100 Sousse | 2026-04-21,27 pts | countable | J100 | SF | J100 Algiers | 2026-04-06,27 pts | countable | J60 | RU | J60 Hammam Sousse | 2025-10-28,27 pts | countable | J100 | SF | J100 Accra | 2025-10-06,27 pts | countable | J100 | SF | J100 Johannesburg | 2025-08-25,2026-06-02T20:42:05.247Z
300,300,800630863,Victoria Lopez Ocampos,F,PAR,Paraguay,2008,314.5,202,450,112.5,6,6,314.5,202,450,112.5,6,6,60 pts | countable | J300 | R16 | J300 Lima | 2026-02-09,60 pts | countable | J100 | RU | J100 Londrina | 2025-06-30,36 pts | countable | J200 | R16 | J200 Santa Cruz | 2025-11-03,36 pts | countable | J200 | R16 | J200 Lima | 2025-09-22,10 pts | countable | J100 | R16 | J100 Luque | 2026-04-06,0 pts | non_countable | J200 | R32 | J200 Asuncion | 2026-03-30,105 pts | countable | J200 | RU | J200 Lima | 2025-09-22,75 pts | countable | J300 | QF | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,75 pts | countable | J300 | QF | J300 Lima | 2026-02-09,75 pts | countable | J300 | QF | J300 Salinas | 2026-02-02,75 pts | countable | J200 | SF | J200 Salta | 2025-10-06,45 pts | non_countable | J200 | QF | J200 Asuncion | 2026-03-30,2026-06-02T20:42:05.247Z
301,301,800797140,Sylvana Jalbert,F,USA,USA,2010,311.5,263,194,48.5,6,6,311.5,263,194,48.5,6,6,100 pts | countable | J200 | SF | J200 Woodbridge | 2026-04-07,100 pts | countable | J300 | QF | J300 San Diego (North American Regional Championships) | 2026-03-16,30 pts | countable | J30 | WR | J30 Richmond | 2025-10-06,18 pts | countable | J30 | RU | J30 Niagara on the Lake | 2025-06-16,10 pts | countable | J60 | QF | J60 Victoria | 2025-10-13,5 pts | countable | J60 |  | J60 San Jose | 2026-01-12,45 pts | countable | J200 | QF | J200 College Grove | 2026-05-04,45 pts | countable | J200 | QF | J200 Woodbridge | 2026-04-07,45 pts | countable | J300 | R16 | J300 San Diego (North American Regional Championships) | 2026-03-16,45 pts | countable | J300 | R16 | J300 Tucson | 2026-03-09,7 pts | countable | J60 | QF | J60 San Jose | 2026-01-12,7 pts | countable | J60 | QF | J60 Victoria | 2025-10-13,2026-06-02T20:42:05.247Z
302,302,800594040,Lia Belibova,F,MDA,Moldova,2009,310.5,248,250,62.5,6,6,310.5,248,250,62.5,6,6,60 pts | countable | J300 | R16 | J300 Kuching | 2026-04-07,60 pts | countable | J100 | RU | J100 Bromma | 2025-12-31,36 pts | countable | J100 | SF | J100 Loughborough | 2026-03-09,36 pts | countable | J200 | R16 | J200 Siauliai | 2026-02-17,36 pts | countable | J60 | RU | J60 Varna | 2025-09-08,20 pts | countable | J100 | QF | J100 Chisinau | 2026-02-23,45 pts | countable | J200 | QF | J200 Kuala Lumpur | 2026-04-14,45 pts | countable | J100 | RU | J100 Chisinau | 2026-02-23,45 pts | countable | J200 | QF | J200 Siauliai | 2026-02-17,45 pts | countable | J100 | RU | J100 Bromma | 2025-12-31,45 pts | countable | J60 | WR | J60 Varna | 2025-09-08,25 pts | countable | J30 | WR | J30 Chisinau | 2025-07-14,2026-06-02T20:42:05.247Z
303,303,800653019,Valeria Galyaeva,F,RUS,Russia,2009,309.5,242,270,67.5,6,6,309.5,242,270,67.5,6,6,60 pts | countable | J200 | QF | J200 Astana | 2025-09-01,60 pts | countable | J60 | WR | J60 Tsaghkadzor | 2025-07-14,36 pts | countable | J60 | RU | J60 Shenzhen | 2025-12-02,36 pts | countable | J60 | RU | J60 Almaty | 2025-10-27,30 pts | countable | J300 | R32 | J300 Astana | 2025-09-08,20 pts | non_countable | J100 | QF | J100 Dubai | 2026-01-19,45 pts | countable | J100 | RU | J100 Dubai | 2026-01-19,45 pts | non_countable | J60 | WR | J60 Almaty | 2025-10-27,45 pts | non_countable | J60 | WR | J60 Baku | 2025-10-20,45 pts | countable | J200 | QF | J200 Fergana | 2025-10-06,45 pts | countable | J100 | RU | J100 Fergana | 2025-09-29,45 pts | countable | J300 | R16 | J300 Astana | 2025-09-08,2026-06-02T20:42:05.247Z
304,304,800682591,Ava Beck,F,AUS,Australia,2008,306.5,181,502,125.5,6,6,306.5,181,502,125.5,6,6,100 pts | countable | J200 | SF | J200 Hong Kong | 2025-09-30,45 pts | countable | J500 | R32 | J500 Osaka | 2025-09-22,36 pts | countable | J200 | R16 | J200 Sydney | 2025-08-26,0 pts | non_countable | JGS | R64 | Australian Open Junior Championships | 2026-01-24,0 pts | countable | J300 | R64 | J300 Traralgon | 2026-01-16,0 pts | countable | J200 | R32 | J200 Miki | 2025-09-16,150 pts | countable | J200 | WR | J200 Hong Kong | 2025-09-30,112 pts | countable | J500 | QF | J500 Osaka | 2025-09-22,75 pts | countable | J200 | SF | J200 Sydney | 2025-08-26,75 pts | countable | J200 | SF | J200 Sydney (Regional Championships) | 2025-08-19,45 pts | countable | J300 | R16 | J300 Traralgon | 2026-01-16,45 pts | countable | J200 | QF | J200 Miki | 2025-09-16,2026-06-02T20:42:05.247Z
305,305,800701368,Georgia Campbell,F,AUS,Australia,2009,306,288,72,18,6,6,306,288,72,18,6,6,100 pts | countable | J100 | WR | J100 Burnie | 2026-02-03,60 pts | countable | J60 | WR | J60 Edmonton | 2025-06-02,36 pts | countable | J100 | SF | J100 Mornington | 2026-03-10,36 pts | countable | J200 | R16 | J200 Sydney | 2025-08-26,36 pts | countable | J200 | R16 | J200 Sydney (Regional Championships) | 2025-08-19,20 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,45 pts | countable | J200 | QF | J200 Sydney (Regional Championships) | 2025-08-19,27 pts | countable | J100 | SF | J100 Mornington | 2026-03-10,0 pts | countable | J100 | R16 | J100 Burnie | 2026-02-03,0 pts | countable | J300 | R32 | J300 Traralgon | 2026-01-16,0 pts | countable | J200 | R16 | J200 Sydney | 2025-08-26,0 pts | non_countable | J60 | R16 | J60 Gold Coast | 2025-07-08,2026-06-02T20:42:05.247Z
306,306,800693916,Luciana Luna,F,PER,Peru,2010,305.5,240,262,65.5,6,6,305.5,240,262,65.5,6,6,60 pts | countable | J100 | RU | J100 Cochabamba | 2026-05-18,36 pts | countable | J100 | SF | J100 Lima | 2026-05-04,36 pts | countable | J200 | R16 | J200 Asuncion | 2026-03-30,36 pts | countable | J100 | SF | J100 Mendoza | 2026-03-23,36 pts | non_countable | J60 | RU | J60 Chiclayo | 2025-11-17,36 pts | countable | J200 | R16 | J200 Santiago | 2025-09-29,75 pts | countable | J300 | QF | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,45 pts | countable | J100 | RU | J100 Mendoza | 2026-03-23,45 pts | countable | J100 | RU | J100 Chiclayo | 2025-11-24,45 pts | countable | J60 | WR | J60 Chiclayo | 2025-11-17,27 pts | countable | J100 | SF | J100 Lima | 2026-05-04,25 pts | countable | J30 | WR | J30 Brussels | 2025-06-23,2026-06-02T20:42:05.247Z
307,307,800655627,Silvana Fajardo,F,PER,Peru,2009,304.25,246,233,58.25,6,6,304.25,246,233,58.25,6,6,100 pts | countable | J300 | QF | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,60 pts | countable | J60 | WR | J60 Lima | 2026-04-27,30 pts | countable | J30 | WR | J30 Lima | 2025-11-10,20 pts | countable | J100 | QF | J100 Lima | 2026-05-04,18 pts | non_countable | J30 | RU | J30 Lima | 2026-02-16,18 pts | countable | J200 | R32 | J200 Bogota | 2025-07-14,75 pts | countable | J300 | QF | J300 Lima | 2026-02-09,45 pts | countable | J60 | WR | J60 Lima | 2026-04-27,45 pts | countable | J60 | WR | J60 Salinas | 2025-06-16,27 pts | countable | J100 | SF | J100 Lima | 2026-05-04,27 pts | countable | J100 | SF | J100 Mendoza | 2026-03-23,14 pts | countable | J60 | SF | J60 Chiclayo | 2025-11-17,2026-06-02T20:42:05.247Z
308,308,800671762,Elizaveta Nalesnik,F,RUS,Russia,2011,302.5,220,330,82.5,6,6,302.5,220,330,82.5,6,6,60 pts | countable | J100 | RU | J100 Rabat | 2026-05-04,60 pts | countable | J100 | RU | J100 Mohammedia | 2026-04-27,36 pts | countable | J100 | SF | J100 Potchefstroom | 2026-02-23,36 pts | countable | J60 | RU | J60 Oberpullendorf | 2026-01-20,18 pts | countable | J30 | RU | J30 Wierden | 2025-10-21,10 pts | countable | J100 | R16 | J100 Bloemfontein | 2026-02-11,75 pts | countable | J100 | WR | J100 Mohammedia | 2026-04-27,75 pts | countable | J100 | WR | J100 Potchefstroom | 2026-03-02,45 pts | countable | J100 | RU | J100 Potchefstroom | 2026-02-23,45 pts | countable | J100 | RU | J100 Bloemfontein | 2026-02-11,45 pts | countable | J60 | WR | J60 Tirana | 2025-09-22,45 pts | countable | J60 | WR | J60 Limelette | 2025-06-30,2026-06-02T20:42:05.247Z
309,309,800603080,Cindy Langlais,F,FRA,France,2009,300,210,360,90,6,6,300,210,360,90,6,6,100 pts | countable | J100 | WR | J100 Alicante | 2026-04-06,60 pts | countable | J300 | R16 | J300 Beaulieu-sur-Mer | 2026-04-13,30 pts | countable | J300 | R32 | J300 Bytom | 2025-07-22,20 pts | countable | J100 | QF | J100 Bruchkoebel | 2025-06-24,0 pts | countable | J200 | R32 | J200 Mugla | 2025-09-29,0 pts | countable | JGS | R64 | Roland Garros Junior Championships | 2025-06-01,135 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,75 pts | countable | J100 | WR | J100 Alicante | 2026-04-06,75 pts | countable | J200 | SF | J200 Mugla | 2025-09-29,75 pts | countable | J100 | WR | J100 Bruchkoebel | 2025-06-24,0 pts | countable | J300 | R16 | J300 Beaulieu-sur-Mer | 2026-04-13,0 pts | countable | J300 | R16 | J300 Bytom | 2025-07-22,2026-06-02T20:42:05.247Z
310,310,800689265,Aoi Watanabe,F,JPN,Japan,2009,297.5,209,354,88.5,6,6,297.5,209,354,88.5,6,6,60 pts | countable | J300 | R16 | J300 Barranquilla | 2026-01-26,45 pts | countable | J500 | R32 | J500 Osaka | 2025-09-22,36 pts | countable | J100 | SF | J100 San Jose | 2026-05-04,30 pts | countable | J300 | R32 | J300 Bradenton | 2025-12-01,20 pts | countable | J100 | QF | J100 San Jose | 2026-04-27,18 pts | non_countable | J60 | SF | J60 San Jose | 2026-01-12,105 pts | countable | J300 | SF | J300 Barranquilla | 2026-01-26,105 pts | countable | J300 | SF | J300 Bradenton | 2025-12-01,45 pts | countable | J300 | R16 | J300 Tucson | 2026-03-09,45 pts | countable | J60 | WR | J60 Jakarta | 2025-07-07,27 pts | countable | J100 | SF | J100 San Jose | 2026-05-04,27 pts | countable | J100 | SF | J100 San Jose | 2026-04-27,2026-06-02T20:42:05.248Z
311,311,800709080,Kaya Moe,F,USA,USA,2008,296.75,132,659,164.75,6,6,296.75,132,659,164.75,6,6,36 pts | countable | J200 | R16 | J200 Montreal | 2025-09-08,36 pts | countable | J100 | SF | J100 Vancouver | 2025-07-07,30 pts | countable | J300 | R32 | J300 Repentigny | 2025-08-24,30 pts | countable | J300 | R32 | J300 College Park | 2025-08-18,0 pts | non_countable | J300 | R32 | J300 San Jose | 2026-01-19,0 pts | countable | J500 | R64 | J500 Fort Lauderdale | 2025-12-08,225 pts | countable | J300 | WR | J300 Repentigny | 2025-08-24,157 pts | countable | J300 | RU | J300 San Jose | 2026-01-19,112 pts | countable | J500 | QF | J500 Fort Lauderdale | 2025-12-08,75 pts | countable | J100 | WR | J100 Vancouver | 2025-07-07,45 pts | countable | J300 | R16 | J300 Bradenton | 2025-12-01,45 pts | non_countable | J200 | QF | J200 Montreal | 2025-09-08,2026-06-02T20:42:05.248Z
312,312,800691559,Ameliia Kononenko,F,RUS,Russia,2011,295,232,252,63,6,6,295,232,252,63,6,6,60 pts | countable | J100 | RU | J100 Gaborone | 2025-11-24,60 pts | countable | J60 | WR | J60 Gaborone | 2025-11-17,36 pts | countable | J100 | SF | J100 Monastir | 2026-04-28,36 pts | countable | J100 | SF | J100 Sousse | 2026-04-21,20 pts | countable | J100 | QF | J100 Lousada | 2026-05-11,20 pts | countable | J100 | QF | J100 Potchefstroom | 2026-03-02,75 pts | countable | J100 | WR | J100 Monastir | 2026-04-28,75 pts | countable | J100 | WR | J100 Sousse | 2026-04-21,45 pts | countable | J100 | RU | J100 Manacor | 2026-01-26,27 pts | countable | J100 | SF | J100 Istanbul | 2026-01-05,15 pts | non_countable | J100 | QF | J100 Lousada | 2026-05-18,15 pts | non_countable | J100 | QF | J100 Lousada | 2026-05-11,2026-06-02T20:42:05.248Z
313,313,800670972,Lucia Gale,F,NZL,New Zealand,2008,294.25,262,129,32.25,6,6,294.25,262,129,32.25,6,6,60 pts | countable | J60 | WR | J60 Lautoka | 2025-10-14,60 pts | countable | J60 | WR | J60 Christchurch | 2025-09-30,60 pts | countable | J200 | QF | J200 Sydney (Regional Championships) | 2025-08-19,36 pts | countable | J100 | SF | J100 Auckland | 2026-01-27,36 pts | countable | J200 | R16 | J200 Sydney | 2025-08-26,10 pts | non_countable | J60 | QF | J60 Lautoka | 2025-10-07,45 pts | countable | J200 | QF | J200 Sydney (Regional Championships) | 2025-08-19,27 pts | countable | J60 | RU | J60 Christchurch | 2025-09-30,15 pts | countable | J100 | QF | J100 Auckland | 2026-01-27,14 pts | countable | J60 | SF | J60 Lautoka | 2025-10-14,14 pts | countable | J60 | SF | J60 Lautoka | 2025-10-07,14 pts | countable | J60 | SF | J60 Holte | 2025-06-10,2026-06-02T20:42:05.248Z
314,314,800651750,Vega Aguilar Ferrandez,F,ESP,Spain,2009,293.75,249,179,44.75,6,6,293.75,249,179,44.75,6,6,60 pts | countable | J200 | QF | J200 Hammamet | 2026-01-13,45 pts | countable | J500 | R32 | J500 Merida | 2025-11-24,36 pts | countable | J200 | R16 | J200 Punta Cana | 2026-02-16,36 pts | countable | J200 | R16 | J200 Marsa | 2026-01-20,36 pts | countable | J60 | RU | J60 La Nucia | 2025-10-20,36 pts | countable | J200 | R16 | J200 Bogota | 2025-07-14,75 pts | countable | J300 | QF | J300 Lima | 2026-02-09,45 pts | countable | J200 | QF | J200 Hammamet | 2026-01-13,15 pts | countable | J100 | QF | J100 Zapopan | 2025-11-10,15 pts | countable | J100 | QF | J100 Barcelona | 2025-08-26,15 pts | countable | J100 | QF | J100 Medellin | 2025-07-07,14 pts | non_countable | J60 | SF | J60 La Nucia | 2025-10-20,2026-06-02T20:42:05.248Z
315,315,800732650,Reiley Rhodes,F,USA,USA,2009,292.5,222,282,70.5,6,6,292.5,222,282,70.5,6,6,60 pts | countable | J200 | QF | J200 Corpus Christi | 2025-09-29,36 pts | countable | J100 | SF | J100 Mount Pleasant | 2026-04-20,36 pts | countable | J200 | R16 | J200 Las Vegas | 2026-03-02,30 pts | non_countable | J300 | R32 | J300 San Diego (North American Regional Championships) | 2026-03-16,30 pts | countable | J300 | R32 | J300 Tucson | 2026-03-09,30 pts | countable | J300 | R32 | J300 Spring - Pan American ITF | 2025-10-06,75 pts | countable | J200 | SF | J200 College Grove | 2026-05-04,45 pts | countable | J300 | R16 | J300 San Diego (North American Regional Championships) | 2026-03-16,45 pts | countable | J300 | R16 | J300 Tucson | 2026-03-09,45 pts | countable | J200 | QF | J200 Las Vegas | 2026-03-02,45 pts | countable | J60 | WR | J60 Cincinnati | 2025-06-09,27 pts | countable | J200 | R16 | J200 Corpus Christi | 2025-09-29,2026-06-02T20:42:05.248Z
316,316,800734994,Anastasia Pleskun,F,USA,USA,2009,292,292,0,0,6,0,292,292,0,0,6,0,100 pts | countable | J100 | WR | J100 Quebec City | 2025-09-15,60 pts | countable | J200 | QF | J200 Woodbridge | 2026-04-07,36 pts | countable | J200 | R16 | J200 Corpus Christi | 2025-09-29,36 pts | countable | J200 | R16 | J200 Montreal | 2025-09-08,30 pts | countable | J300 | R32 | J300 Spring - Pan American ITF | 2025-10-06,30 pts | countable | J300 | R32 | J300 Repentigny | 2025-08-24,,,,,,,2026-06-02T20:42:05.248Z
316,316,800686378,Ema Chladova,F,CZE,Czechia,2010,292,214,312,78,6,6,292,214,312,78,6,6,60 pts | countable | J100 | RU | J100 Algiers | 2026-04-06,60 pts | countable | J60 | WR | J60 Mogyorod | 2025-10-14,36 pts | countable | J60 | RU | J60 Skopje | 2026-04-27,20 pts | countable | J100 | QF | J100 Sobota | 2026-05-26,20 pts | countable | J100 | QF | J100 Budapest | 2025-08-26,18 pts | countable | J200 | R32 | J200 Kosice | 2026-01-06,150 pts | countable | J200 | WR | J200 Kosice | 2026-01-06,75 pts | countable | J100 | WR | J100 Algiers | 2026-04-06,45 pts | countable | J300 | R16 | J300 Astana | 2025-09-08,27 pts | countable | J60 | RU | J60 Skopje | 2026-04-27,15 pts | countable | J100 | QF | J100 Sobota | 2026-05-26,0 pts | countable | J200 | R16 | J200 Targu Jiu | 2026-05-18,2026-06-02T20:42:05.248Z
318,318,800777696,Berrak Kocak,F,TUR,Turkiye,2008,290.5,232,234,58.5,6,6,290.5,232,234,58.5,6,6,60 pts | countable | J60 | WR | J60 Antalya | 2026-02-09,60 pts | countable | J200 | QF | J200 Marsa | 2026-01-20,36 pts | countable | J200 | R16 | J200 Istres | 2026-04-06,36 pts | countable | J60 | RU | J60 Antalya | 2026-02-02,20 pts | countable | J100 | QF | J100 The Hague | 2026-02-17,20 pts | countable | J100 | QF | J100 Dakahlia | 2025-08-11,45 pts | countable | J200 | QF | J200 Istres | 2026-04-06,45 pts | countable | J300 | R16 | J300 Vrsar | 2026-03-23,45 pts | countable | J200 | QF | J200 Mugla | 2025-09-29,45 pts | countable | J100 | RU | J100 Dakahlia | 2025-08-11,27 pts | countable | J60 | RU | J60 Antalya | 2026-02-09,27 pts | countable | J100 | SF | J100 Cairo | 2025-08-18,2026-06-02T20:42:05.248Z
319,319,800671198,Montserrat Marron Baruqui,F,MEX,Mexico,2008,287.5,217,282,70.5,6,6,287.5,217,282,70.5,6,6,60 pts | countable | J60 | WR | J60 Villahermosa | 2026-05-25,45 pts | countable | J500 | R32 | J500 Merida | 2025-11-24,36 pts | countable | J60 | RU | J60 Villahermosa | 2026-05-18,36 pts | countable | J60 | RU | J60 Leon | 2025-10-06,20 pts | countable | J100 | QF | J100 Metepec | 2025-09-29,20 pts | countable | J100 | QF | J100 Metepec | 2025-09-22,75 pts | countable | J100 | WR | J100 Metepec | 2025-09-22,45 pts | countable | J60 | WR | J60 Villahermosa | 2026-05-18,45 pts | countable | J300 | R16 | J300 Zapopan | 2025-11-17,45 pts | countable | J60 | WR | J60 Leon | 2025-10-06,45 pts | countable | J200 | QF | J200 Monterrey | 2025-06-30,27 pts | non_countable | J60 | RU | J60 Villahermosa | 2026-05-25,2026-06-02T20:42:05.248Z
319,319,800681654,REI MIYAMOTO,F,JPN,Japan,2010,287.5,226,246,61.5,6,6,287.5,226,246,61.5,6,6,60 pts | countable | J60 | WR | J60 Harmon | 2026-05-19,60 pts | countable | J60 | WR | J60 Harmon | 2026-05-12,36 pts | countable | J100 | SF | J100 Burnie | 2026-02-03,30 pts | countable | J300 | R32 | J300 Kuching | 2026-04-07,20 pts | countable | J100 | QF | J100 Auckland | 2026-01-27,20 pts | countable | J100 | QF | J100 Seoul | 2025-11-04,75 pts | countable | J100 | WR | J100 Auckland | 2026-01-27,45 pts | countable | J300 | R16 | J300 Kuching | 2026-04-07,45 pts | countable | J100 | RU | J100 Burnie | 2026-02-03,27 pts | non_countable | J60 | RU | J60 Harmon | 2026-05-19,27 pts | non_countable | J60 | RU | J60 Harmon | 2026-05-12,27 pts | countable | J200 | R16 | J200 Kuala Lumpur | 2026-04-14,2026-06-02T20:42:05.248Z
321,321,800668392,Rosie Cho,F,GBR,Great Britain,2010,286.25,209,309,77.25,6,6,286.25,209,309,77.25,6,6,60 pts | countable | J60 | WR | J60 Changhua | 2025-11-11,45 pts | countable | J500 | R32 | J500 Osaka | 2025-09-22,36 pts | countable | J100 | SF | J100 Changhua | 2025-11-18,30 pts | countable | J30 | WR | J30 Weybridge | 2025-07-14,20 pts | countable | J100 | QF | J100 Kawaguchi | 2025-09-10,18 pts | countable | J30 | RU | J30 Manchester | 2025-06-16,112 pts | countable | J500 | QF | J500 Osaka | 2025-09-22,75 pts | countable | J200 | SF | J200 Miki | 2025-09-16,45 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,27 pts | countable | J100 | SF | J100 Changhua | 2025-11-18,25 pts | countable | J30 | WR | J30 Weybridge | 2025-07-14,25 pts | countable | J30 | WR | J30 Manchester | 2025-06-16,2026-06-02T20:42:05.248Z
322,322,800695465,Abril Cardenas Olivares,F,MEX,Mexico,2009,286,198,352,88,6,6,286,198,352,88,6,6,60 pts | countable | J60 | WR | J60 Leon | 2025-10-13,36 pts | countable | J60 | RU | J60 Zapopan | 2026-02-09,36 pts | countable | J60 | RU | J60 Monterrey | 2025-08-25,30 pts | countable | J300 | R32 | J300 Tucson | 2026-03-09,18 pts | countable | J60 | SF | J60 San Luis Potosi | 2026-02-16,18 pts | countable | J200 | R32 | J200 Corpus Christi | 2025-09-29,75 pts | countable | J300 | QF | J300 Spring - Pan American ITF | 2025-10-06,75 pts | countable | J100 | WR | J100 Neunkirchen | 2025-07-07,67 pts | countable | J500 | R16 | J500 Merida | 2025-11-24,45 pts | countable | J300 | R16 | J300 Zapopan | 2025-11-17,45 pts | countable | J100 | RU | J100 Zapopan | 2025-11-10,45 pts | countable | J200 | QF | J200 Corpus Christi | 2025-09-29,2026-06-02T20:42:05.248Z
323,323,800659780,Viktoria Novakova,F,SVK,Slovakia,2010,284.75,264,83,20.75,6,6,284.75,264,83,20.75,6,6,60 pts | countable | J200 | QF | J200 Piestany | 2026-04-14,60 pts | countable | J100 | RU | J100 Trnava | 2026-02-17,36 pts | countable | J200 | R16 | J200 Kosice | 2026-01-06,36 pts | countable | J100 | SF | J100 Trnava | 2025-11-10,36 pts | countable | J100 | SF | J100 Mostar | 2025-09-15,36 pts | countable | J100 | SF | J100 Budapest | 2025-08-26,27 pts | countable | J100 | SF | J100 Mostar | 2025-09-15,27 pts | countable | J60 | RU | J60 Skopje | 2025-08-11,15 pts | countable | J100 | QF | J100 Budapest | 2025-08-26,14 pts | countable | J60 | SF | J60 Slovenska Lupca | 2025-08-05,0 pts | non_countable | J200 | R32 | J200 Piestany | 2026-04-14,0 pts | non_countable | J100 | R16 | J100 Alicante | 2026-04-06,2026-06-02T20:42:05.248Z
324,324,800638775,Greta Nemcsek,F,HUN,Hungary,2009,284.5,228,226,56.5,6,6,284.5,228,226,56.5,6,6,60 pts | countable | J300 | R16 | J300 Vrsar | 2026-03-23,60 pts | countable | J60 | WR | J60 Oberpullendorf | 2026-01-20,36 pts | countable | J60 | RU | J60 Blagnac | 2026-03-16,36 pts | countable | J100 | SF | J100 Bromma | 2025-12-31,18 pts | countable | J200 | R32 | J200 Piestany | 2026-04-14,18 pts | countable | J200 | R32 | J200 Kosice | 2026-01-06,157 pts | countable | J300 | RU | J300 Vrsar | 2026-03-23,27 pts | countable | J60 | RU | J60 Blagnac | 2026-03-16,27 pts | countable | J200 | R16 | J200 Kosice | 2026-01-06,15 pts | countable | J100 | QF | J100 Trnava | 2026-02-17,0 pts | countable | J200 | R16 | J200 Piestany | 2026-04-14,0 pts | non_countable | J60 | QF | J60 Oberpullendorf | 2026-01-20,2026-06-02T20:42:05.248Z
324,324,800773164,Jinling Shi,F,CHN,"China, P.R.",2010,284.5,202,330,82.5,6,6,284.5,202,330,82.5,6,6,60 pts | countable | J100 | RU | J100 Huzhou | 2026-05-18,36 pts | countable | J60 | RU | J60 Wuning | 2026-03-16,36 pts | countable | J200 | R16 | J200 Nanjing | 2025-09-09,30 pts | countable | J300 | R32 | J300 Beijing | 2025-09-16,20 pts | countable | J100 | QF | J100 Wuhan | 2026-04-21,20 pts | countable | J100 | QF | J100 Zhangjiagang | 2025-09-23,75 pts | countable | J100 | WR | J100 Wuhan | 2026-04-21,75 pts | countable | J200 | SF | J200 Nanjing | 2025-09-09,45 pts | countable | J60 | WR | J60 Chengdu | 2026-04-27,45 pts | countable | J60 | WR | J60 Guangzhou | 2026-04-14,45 pts | countable | J100 | RU | J100 Zhangjiagang | 2025-09-23,45 pts | countable | J300 | R16 | J300 Beijing | 2025-09-16,2026-06-02T20:42:05.248Z
326,326,800636412,Victoria Khastsaeva,F,RUS,Russia,2010,283.5,218,262,65.5,6,6,283.5,218,262,65.5,6,6,60 pts | countable | J60 | WR | J60 Belgrade | 2026-01-12,36 pts | countable | J100 | SF | J100 Rabat | 2026-05-04,36 pts | countable | J100 | SF | J100 Potchefstroom | 2026-03-02,36 pts | countable | J100 | SF | J100 Fujairah | 2026-01-05,30 pts | countable | J30 | WR | J30 Andijan | 2025-11-10,20 pts | non_countable | J100 | QF | J100 Mohammedia | 2026-04-27,75 pts | countable | J100 | WR | J100 Mohammedia | 2026-04-27,75 pts | countable | J100 | WR | J100 Potchefstroom | 2026-03-02,45 pts | countable | J100 | RU | J100 Potchefstroom | 2026-02-23,27 pts | countable | J60 | RU | J60 Telavi | 2025-06-30,25 pts | countable | J30 | WR | J30 Andijan | 2025-11-10,15 pts | countable | J100 | QF | J100 Fujairah | 2026-01-05,2026-06-02T20:42:05.248Z
