player_id,player_name,gender,country,birth_year,official_rank,live_rank,official_points,live_points,points_change_vs_official,detail_type,event_type,slot,source_type,tournament_name,category,round,start_date,points_raw,points_weighted,status,drop_info,raw
800683472,Jacquyn Colalancia,M,AUS,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
800683472,Jacquyn Colalancia,M,AUS,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-JPN-2026-002"",""tournament_name"":""J60 Miki City"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800683472"",""player_name"":""Jacquyn Colalancia"",""nationality"":""AUS"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800714580,Jakub Kolowiecki,M,POL,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Gdansk | 2026-06-03 | drop
800714580,Jakub Kolowiecki,M,POL,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-POL-2026-004"",""tournament_name"":""J60 Gdansk"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800714580"",""player_name"":""Jakub Kolowiecki"",""nationality"":""POL"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800646189,JERZY FILIP URBAN,M,POL,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Gdansk | 2026-06-03 | drop
800646189,JERZY FILIP URBAN,M,POL,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-POL-2026-004"",""tournament_name"":""J60 Gdansk"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800646189"",""player_name"":""JERZY FILIP URBAN"",""nationality"":""POL"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800670475,Joachim Mika Gunawan,M,INA,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,,drop,5 pts | LIVE | J30 | R16 | J30 Sukoharjo | 2026-06-01 | drop
800670475,Joachim Mika Gunawan,M,INA,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,still_alive_or_champion,,"{""tournament_key"":""J-J30-INA-2026-002"",""tournament_name"":""J30 Sukoharjo"",""category"":""J30"",""start_date"":""2026-06-01"",""end_date"":""2026-06-07"",""player_id"":""800670475"",""player_name"":""Joachim Mika Gunawan"",""nationality"":""INA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.870Z""}"
800670732,Jordan Faith Suryaatmadja,M,INA,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,,drop,5 pts | LIVE | J30 | R16 | J30 Sukoharjo | 2026-06-01 | drop
800670732,Jordan Faith Suryaatmadja,M,INA,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,still_alive_or_champion,,"{""tournament_key"":""J-J30-INA-2026-002"",""tournament_name"":""J30 Sukoharjo"",""category"":""J30"",""start_date"":""2026-06-01"",""end_date"":""2026-06-07"",""player_id"":""800670732"",""player_name"":""Jordan Faith Suryaatmadja"",""nationality"":""INA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.870Z""}"
